sensor0,sensor1,sensor2,target
842.7518825051819,299.57459013106717,846.5604084665797,199.99994475782606
843.0387029005052,301.3773809541867,846.4030558270657,199.99996191932453
846.0680005132642,300.1168384617762,844.7566228991619,200.00000225519082
846.1471419880222,298.1324952548593,844.2724300245694,200.00000658875945
845.9623733377762,301.50612121947233,844.1287054003817,200.00000616541158
848.827674293349,302.35846260236383,845.7339888722096,200.00002960932127
843.705449396547,298.55749972862634,843.4949456743243,200.0000000093278
847.0778878833853,298.68481352694437,843.0508081786105,200.00006530864542
846.5908621860364,300.78194942025306,847.3862879173967,199.99999949673247
846.9129021230019,300.95612731161634,849.9559955318311,199.99997181968456
848.071033911197,298.81337447363984,847.8714161629968,200.0000000079542
846.1514948452404,299.94891976882434,848.1809612315501,199.99999164116818
849.5664495932474,302.15456622750685,848.1221935042129,200.0000030125386
848.4929720479571,302.24380749940616,848.6497615169524,199.99999999614565
849.0962915255255,298.29702628608663,847.2752461968018,200.0000060389616
847.0326624563168,299.0758937349057,845.5059631081564,200.00000355844747
846.9864675049257,299.4823182975891,848.6124956151009,199.99999570083466
845.9643832494311,301.0100493134748,846.6567269256152,199.99999966813215
848.3840152691425,300.29046857802786,849.6857588350832,199.99999779414827
843.1350801885426,298.18894552463775,847.5565862024599,199.99991356081566
839.5663702709243,298.98371793716836,844.0607156487839,199.99990921808683
845.0869264694282,298.6986218550053,845.3883261503062,199.99999997262032
844.4805846271436,299.82834639973834,844.0502625720035,200.00000007968578
843.3985424565623,300.58943905185976,841.9527337448783,200.0000030222648
846.2771532922243,298.28397408236793,844.3933096445752,200.00000668551036
843.232773552038,301.051468098136,843.8292992614017,199.99999978773056
846.7890662840819,301.1353148319335,844.7426175226453,200.00000857043028
847.5808485187562,300.60001044254875,844.6614499655615,200.00002488170665
842.6206337159373,298.5410156742976,840.1058549712303,200.00001590374276
841.3854692175273,301.6181600302586,844.7282525542554,199.99996264706897
849.4209318902514,299.685910290139,844.0017035914043,200.0001591520883
848.9637571837986,299.933230538377,842.6674222533441,200.000249610854
846.4509231828052,301.06692882662554,845.2590558994639,200.00000169310422
845.7327769582095,300.9697296738953,847.2040031225515,199.9999968155215
849.9475852502951,301.39039101889676,847.4222462820507,200.0000161049374
849.0463417018899,299.8617318722981,846.6197730928709,200.00001428820673
849.0986226761803,300.2700081381647,846.2179424991892,200.00002390480097
847.4803630739659,302.55636816012327,846.2480672239064,200.00000187130664
848.2896778868079,301.36504634158786,846.1705658121032,200.00000951616093
848.803512971776,298.6516076918099,848.6527485073236,200.00000000342686
844.9674868417204,299.0939865334584,846.2770383706396,199.99999775421708
847.0270803328101,300.7804805906332,850.6463873524772,199.99995258931006
